"NAME"	"HSC-like"	"Progenitor-like"	"Promono-like"	"Monocyte-like"	"cDC-like"
"HLA-DQB1"	0	0	0	0	1
"CRIP1"	0	0	0	0	1
"CLEC10A"	0	0	0	0	1
"GPX1"	0	0	0	0	1
"ITGB7"	0	0	0	0	1
"HLA-DQB2"	0	0	0	0	1
"DBI"	0	0	0	0	1
"FTH1P3"	0	0	0	0	1
"ACTB"	0	0	0	0	1
"HLA-DQA2"	0	0	0	0	1
"S100B"	0	0	0	0	1
"ALDH2"	0	0	0	0	1
"GABARAP"	0	0	0	0	1
"LY86"	0	0	0	0	1
"IGSF6"	0	0	0	0	1
"HLA-DPB2"	0	0	0	0	1
"CD74"	0	0	0	0	1
"PAK1"	0	0	0	0	1
"LGALS2"	0	0	0	0	1
"CSF1R"	0	0	0	0	1
"PALLD"	0	0	0	0	1
"CCR2"	0	0	0	0	1
"GPR183"	0	0	0	0	1
"GRB2"	0	0	0	0	1
"EPS8"	0	0	0	0	1
"COTL1"	0	0	0	0	1
"DHRS9"	0	0	0	0	1
"HLA-DMB"	0	0	0	0	1
"HLA-DMA"	0	0	0	0	1
"PYCARD"	0	0	0	0	1
"LOC644936"	0	0	0	0	1
"SH3BGRL3"	0	0	0	0	1
